exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,qed,DRD2,model_samples,neg-loglike,D_loss_0,Accuracy_0
drd2_organ2_06,1,6.32720279694,33.58796875,6400,6389,2228,4172,1.0,1.0,1.0,0.463115675088,0.907136445242,0.531797287996,0.503328438197,0.583221566711,0.715913599367,0.00793903711962,drd2_organ2_06_1,118.526504517,3.0769097805,0.625
drd2_organ2_06,2,6.40396404266,35.6734375,6400,6387,1505,4895,1.0,1.0,1.0,0.419312641231,0.89488372093,0.544650685245,0.507861683468,0.552996998843,0.700244537045,0.00841059102715,drd2_organ2_06_2,7.52332830429,2.17386674881,0.875
drd2_organ2_06,3,6.37441778183,35.9128125,6400,6387,1215,5185,1.0,1.0,1.0,0.434282611167,0.906008230453,0.546316302111,0.518711406692,0.524157376391,0.710084722584,0.00476240215,drd2_organ2_06_3,36.1449356079,1.94929933548,0.75
drd2_organ2_06,4,6.33857870102,34.9521875,6400,6389,1149,5251,1.0,1.0,1.0,0.499373617853,0.914186248912,0.527238936343,0.520605474367,0.514561125206,0.723369479231,0.00603076848129,drd2_organ2_06_4,15.719367981,1.75920045376,0.6875
drd2_organ2_06,5,6.28667116165,33.58828125,6400,6388,1046,5354,1.0,1.0,1.0,0.52790658972,0.926529636711,0.515521528908,0.537852453014,0.504311443344,0.713865915021,0.00617171767316,drd2_organ2_06_5,28.9567317963,1.72434318066,0.6875
drd2_organ2_06,6,6.24029541016,31.70796875,6400,6385,1210,5190,1.0,1.0,1.0,0.509026903315,0.925,0.509978376685,0.524754292332,0.531814618512,0.716616610704,0.00602196544248,drd2_organ2_06_6,7.78797006607,1.00132739544,0.9375
drd2_organ2_06,7,6.20459842682,30.12984375,6400,6381,1625,4775,1.0,1.0,1.0,0.511094939304,0.930646153846,0.513443961654,0.498903812767,0.578308773799,0.724948491214,0.00434286015776,drd2_organ2_06_7,16.6781845093,1.01916944981,0.875
drd2_organ2_06,8,6.16677379608,28.65375,6400,6367,2086,4314,1.0,1.0,1.0,0.418910500532,0.933077660594,0.522388138829,0.480724477076,0.6161639901,0.724091024168,0.00466452312803,drd2_organ2_06_8,14.987994194,0.829058587551,0.875
drd2_organ2_06,9,6.16730880737,28.2975,6400,6359,2210,4190,1.0,1.0,1.0,0.478844730991,0.929570135747,0.521287040655,0.493671288859,0.608456970997,0.722746290313,0.00458497188446,drd2_organ2_06_9,14.2880811691,0.692250788212,0.875
drd2_organ2_06,10,6.17600631714,28.40253125,32000,31487,11756,20244,1.0,1.0,1.0,0.434094427846,0.92144862198,0.533301392027,0.501408075022,0.626325704164,0.72171907367,0.00575347368797,drd2_organ2_06_10,29.4766197205,0.419500887394,1.0
