exp_name,Batch,test_loss,mean_length,n_samples,uniq_samples,good_samples,bad_samples,novelty,hard_novelty,soft_novelty,diversity,conciseness,solubility,naturalness,synthesizability,qed,DRD2,model_samples,neg-loglike,D_loss_0,Accuracy_0
drd2,0,6.32203245163,33.536125,32000,31843,11045,20955,0.999909461295,0.999909461295,0.999936622906,0.453808961003,0.905708465369,0.53319798291,0.50050211775,0.586805272837,0.712216689974,0.00825740258432,drd2_0,2.28489923477,0,0
drd2,1,6.32124471664,32.6815625,6400,6386,1793,4607,1.0,1.0,1.0,0.509930751242,0.905856107083,0.496686884365,0.532722136454,0.540693488274,0.699967088253,0.0103259959074,drd2_1,9.24348831177,0,0
drd2,2,6.30583906174,32.216875,6400,6384,1763,4637,1.0,1.0,1.0,0.520589350977,0.904367555303,0.477611476977,0.540024715005,0.513929796763,0.68305205314,0.014025670874,drd2_2,5.08389234543,0,0
drd2,3,6.26618146896,31.0790625,6400,6379,2061,4339,1.0,1.0,1.0,0.567892978807,0.898884036875,0.462669075487,0.538931713938,0.508006973956,0.675316681556,0.0158422293912,drd2_3,9.03932666779,0,0
drd2,4,6.2315864563,29.5425,6400,6383,2155,4245,1.0,1.0,1.0,0.576011828871,0.901252900232,0.454174762598,0.543202696592,0.51040061513,0.666429814928,0.0166399310104,drd2_4,5.22181463242,0,0
drd2,5,6.20550584793,27.91265625,6400,6375,2218,4182,1.0,1.0,1.0,0.61265020108,0.896009918846,0.457458788628,0.558875781114,0.510274379372,0.665181184416,0.0217730978747,drd2_5,13.2846727371,0,0
drd2,6,6.19360113144,27.02984375,6400,6370,2060,4340,1.0,1.0,1.0,0.658964752007,0.892961165049,0.454468850341,0.558991419601,0.515962081625,0.653459257471,0.0249790258169,drd2_6,9.54591369629,0,0
drd2,7,6.18040943146,26.7425,6400,6368,1934,4466,1.0,1.0,1.0,0.651768410377,0.886116856256,0.444712962582,0.584606016832,0.472947506762,0.650373857162,0.0290331418121,drd2_7,19.0952033997,0,0
drd2,8,6.15804481506,26.05375,6400,6368,1774,4626,1.0,1.0,1.0,0.708974973747,0.873985343856,0.432989062186,0.601085123621,0.460589313584,0.648348036254,0.0279773212416,drd2_8,9.41659545898,0,0
drd2,9,6.1246881485,25.11296875,6400,6345,1597,4803,1.0,1.0,1.0,0.71529458249,0.879023168441,0.408513646736,0.609982825739,0.432795963205,0.637407874685,0.0292296427333,drd2_9,7.19525623322,0,0
drd2,10,6.06787633896,23.777625,32000,30612,8111,23889,1.0,1.0,1.0,0.791684484698,0.868629022315,0.391817143966,0.631661424295,0.425962387452,0.62589644986,0.0289877091879,drd2_10,8.25494861603,0,0
drd2,11,6.04117870331,23.055,6400,6263,1641,4759,1.0,1.0,1.0,0.787948945465,0.871602681292,0.37336275819,0.634817391369,0.422184532376,0.61848034153,0.0306676850505,drd2_11,17.6301765442,0,0
drd2,12,6.01887893677,22.625,6400,6237,1626,4774,1.0,1.0,1.0,0.827963689738,0.870479704797,0.35504336793,0.652947101317,0.397381914846,0.609595035119,0.0310429264039,drd2_12,9.07027435303,0,0
drd2,13,5.96927595139,21.75015625,6400,6125,1707,4693,1.0,1.0,1.0,0.807204310003,0.878617457528,0.353736741018,0.659876895384,0.411954502772,0.606348093129,0.0277975853596,drd2_13,15.7912254333,0,0
drd2,14,5.96110153198,21.5071875,6400,6066,1696,4704,1.0,1.0,1.0,0.818568660829,0.882163915094,0.36188641682,0.653280335622,0.4229242907,0.607137592877,0.0301490535607,drd2_14,7.52043437958,0,0
drd2,15,5.96385765076,21.73875,6400,6095,1739,4661,1.0,1.0,1.0,0.808858155149,0.889965497412,0.365386866515,0.641234208138,0.434435769353,0.615148070456,0.0356711917771,drd2_15,7.37662029266,0,0
drd2,16,5.97095012665,21.71421875,6400,6113,1882,4518,1.0,1.0,1.0,0.812358740636,0.881296493092,0.371864920764,0.637663074616,0.442825827302,0.619567136994,0.0420880469448,drd2_16,12.1066598892,0,0
drd2,17,6.00187063217,22.30109375,6400,6189,1872,4528,1.0,1.0,1.0,0.815434855327,0.887259615385,0.385449898367,0.621167911495,0.465861873242,0.633665833937,0.0470567379688,drd2_17,16.1221160889,0,0
drd2,18,6.02444410324,22.631875,6400,6184,1983,4417,1.0,1.0,1.0,0.782226028966,0.882652546646,0.395384905339,0.614983626426,0.468435336182,0.636763394138,0.06303415645,drd2_18,10.1317396164,0,0
